,0
759491,0.00014902513911858807
74,0.0
25462,0.0005885501345597442
335,9.773789159105767e-05
66915,0.012965830568810472
71209,0.0005979020476176929
91438,0.00012376613394756534
113823,4.910213526892322e-05
132710,2.0047761961941438e-05
208582,0.000153960178295525
378288,0.0024601881792553383
397880,0.00023940842035362754
489999,0.00014314240459161896
492331,0.00038906921561539633
615119,0.00027623779720267804
651107,0.00017221696795717708
747445,0.000710480761753934
755156,0.0007034889296711516
838272,0.0004733946130211174
895136,0.0005133576171631457
899530,0.0005044472604429865
960690,0.0004054964081094082
988638,0.0005905635542987989
75264,0.0007131984640385998
441,0.0
91650,0.0014540910310676214
112789,0.0001282024483367792
134729,0.00035168562481273873
175775,0.00010116205397974636
295756,0.001192112122302571
359326,0.00018977059990225485
446509,0.0010511168159864838
485135,8.44209472129267e-05
579839,0.00037195194392134357
741746,0.00019129911077460813
789064,3.662399072605789e-05
790820,0.0002044494371677366
796045,0.00020645704150824663
806829,0.0004902471392197891
825087,0.00016670788813867162
863790,0.00024167196573152093
883318,0.0004696276268002696
151290,0.000503857742317831
589,0.0
286662,0.00010789975696440445
748421,0.0
5953,0.0010112760399919318
1098,0.0003385013551870452
12654,0.0003801043490903245
59537,0.000731823331281958
61938,0.0002690450265377931
81493,0.0004467194608324666
84209,0.001161346185021316
130932,0.00023625117005907745
139026,0.0030211638815384975
182598,0.00138170164636251
187581,0.0021376335501687538
200968,8.085261186518302e-05
349157,0.00023681018578308768
354105,0.011569908984490833
379125,0.0014063463560638411
390390,0.0002899684048104708
485791,0.0001782739404117274
490004,0.0020544179459535297
503913,0.00026662606707239804
562304,0.0026015854249168036
574772,0.0005870245026643687
604852,0.0007030485975002139
623985,0.00020359106159734721
754032,0.016676430745493173
771438,0.002376056716287896
772567,0.0007235296937463913
840402,0.004164676543980229
8828,0.00012332277123601928
1113,0.0
81403,8.06524010308383e-05
546214,0.00012696175870501527
628467,0.00011164518231813081
13384,0.00012813347434004186
1433,2.5201323276654244e-05
19241,8.459756424937028e-05
65397,0.00033070131346453637
86312,7.725933008206165e-05
99753,8.334713848958798e-05
136640,0.00041393292333372414
175286,0.00046383894322641554
210512,5.8847735912322645e-05
234325,0.00041845615453052785
409954,0.0007770812268626777
749175,6.628739766510997e-05
804289,9.919715671272417e-05
50493,2.8870675511827444e-05
1498,0.0
96977,3.0982421405991824e-05
97325,0.00016346032501756555
219966,5.0686348400421e-05
561105,3.756630525751378e-05
607053,0.00012791568466966803
1528006,3.105708121987189e-05
1589,0.0
559405,3.493481483161482e-05
1611,3.487613020081537e-05
156886,8.477372043873887e-05
2252,1.7580514020119628e-05
112017,0.00026145651141460703
2273,1.8607308978346482e-05
203804,9.206544243515944e-06
588679,9.206544243515944e-06
744548,0.001195664831055841
38936,0.0008682241798744763
2330,0.00036778115676979666
41874,0.004905365536622082
249175,0.00016014982192955485
639397,0.000361910593694954
642542,0.003237228093283347
765585,3.860109859162741e-05
781837,0.000656476449319441
785283,0.0045224714775865095
792507,0.0022419400162485836
798543,2.249433758476565e-05
183867,0.0017923243503280032
2411,0.0025469137798773025
346336,0.0027874077003740946
423829,0.011336203017269689
750519,0.0013768888911609052
840102,0.007268484242014379
988440,0.0018662490211431685
133969,9.089219070432997e-05
2578,0.0
7689,0.00033237000876900106
2750,0.0
160690,0.00032793972255427153
208774,0.0009726898866400745
262255,0.0010708690971831278
319347,0.00044669792952596317
376204,0.0005331957817591923
802302,0.0008214139282850473
820434,0.0006363486800324355
112462,0.002169386596872246
2867,0.0
176936,0.0015163951761863173
187478,0.0003660944478713302
192382,0.0014920313113260155
240865,0.0007259223450951191
255371,4.034910052992923e-05
489303,0.0025945329785800166
824599,0.0008460956843399792
831381,7.791444977847523e-05
894465,0.0064891438785672426
18977,0.00021359603317114536
3170,1.2325929607264552e-05
19297,0.00012527204658231011
297894,0.00021693480964604626
517607,0.0
3226,0.0
583618,0.00026166511389894
626463,0.0001459263464708857
859509,3.909309714130397e-05
101895,0.00012768659193464993
3426,0.0
239859,0.00023157623965993458
3595,0.00034927198238065324
304458,0.00014485415862717688
649950,0.0001767712387705867
691807,0.00012257361357619087
178014,0.0004425834896094831
3627,4.07421003887862e-05
246768,0.0003612792661510031
295276,0.0010916001758781702
603590,0.00023346329800103492
745584,0.00013293927406130023
790988,0.0011623381619937797
819344,0.0004360169144345841
855773,5.2236771452469634e-05
131627,0.00043402032465829
3669,0.0
137580,0.00017149338570692638
170369,0.00029611364683027205
207735,7.39406605084548e-05
240311,0.0005503952666683147
289177,0.00012816218470895361
309458,0.0010694610284260522
332141,0.0017865520894993574
519637,5.131272212134783e-07
578028,5.131272212134783e-07
584923,5.5170116256679e-05
690254,0.0001387614146057978
744265,6.9809851211572e-05
767068,0.00011672288650334111
816890,0.0018811063118994028
921965,0.00021057524737439203
923384,4.286780689750351e-05
532957,0.004589568561524541
3829,0.003850056706061061
805930,0.002673499202988973
4358,0.0
4451,4.664978437205656e-06
123007,0.00020867839283563935
490141,0.00040711511182702376
42234,3.350717686823657e-05
4458,0.0
536122,0.0005103154251554334
4553,0.0
31380,0.00024933771531564697
4852,0.00030319747879562473
122754,0.00024254923073125978
145443,7.157088035828206e-05
237205,0.0038611434412460337
661524,0.0010625491897429456
664817,0.0003237331361114843
806336,0.0002450231907598193
100160,0.003640760356002392
4955,0.0
577627,0.0034169247206192574
1190,7.435984648753015e-05
5307,2.0394498197812087e-05
74195,0.00019485753422926206
101946,0.0006210443494139511
134600,0.00018551880246362397
164053,0.00014684531255634086
165011,0.0011286696033889231
170770,0.0001414406203885146
279337,0.0007610141576803181
290072,0.00048508823121783747
316834,0.0035934947557299734
361393,0.003122139044630262
411761,0.0011587655879589643
568861,0.0002565430539939467
614823,2.7555777112020797e-05
622805,0.002940115282756162
866491,5.648510364633887e-05
887806,2.5677856677682672e-05
927555,0.0020334702387085745
933172,0.00032403698670318973
22124,0.0006404425267882869
5441,0.0003027740777585847
98465,0.0008874585654728754
105422,0.00011816219065545709
163386,1.8209171448328233e-05
246611,0.0008992703569118447
260206,0.00034097949012924545
287259,0.0001426964540980254
315403,0.0005074165277233478
371258,0.00020346733180343676
386253,0.00011795683910814447
406294,0.00018417032759158577
424244,0.0002858985857209165
490952,0.0003211207119760748
501407,0.0010012753698516988
561715,0.00011337335834237848
588450,1.937159220578425e-05
673208,7.041238379307447e-05
749970,0.0003486588330630427
751910,8.296269795654756e-05
925852,0.0002411456808492201
957085,0.0001562603580054337
5501,5.145135427980047e-05
223627,3.2744172118656584e-05
280956,0.00014295532814390818
351733,0.00028648971500628043
357406,0.0008093999784523508
388198,9.115575983238328e-06
506513,0.00017512119045075763
