,0,1
0,1528006,6.852181967434782e-05
1,203804,6.852181967434782e-05
2,588679,6.852181967434782e-05
3,765585,6.852181967434782e-05
4,183867,6.852181967434782e-05
5,255371,6.852181967434782e-05
6,239859,6.852181967434782e-05
7,304458,6.852181967434782e-05
8,246768,6.852181967434782e-05
9,532957,6.852181967434782e-05
10,1190,6.852181967434782e-05
11,695189,6.852181967434782e-05
12,404463,6.852181967434782e-05
13,277351,6.852181967434782e-05
14,60306,6.852181967434782e-05
15,172642,6.852181967434782e-05
16,244406,6.852181967434782e-05
17,60679,6.852181967434782e-05
18,942252,6.852181967434782e-05
19,36537,6.852181967434782e-05
20,58616,6.852181967434782e-05
21,667169,6.852181967434782e-05
22,803242,6.852181967434782e-05
23,563834,6.852181967434782e-05
24,23290,6.852181967434782e-05
25,175196,6.852181967434782e-05
26,478246,6.852181967434782e-05
27,16759,6.852181967434782e-05
28,797881,6.852181967434782e-05
29,600069,6.852181967434782e-05
30,111794,6.852181967434782e-05
31,161173,6.852181967434782e-05
32,848784,6.852181967434782e-05
33,845775,6.852181967434782e-05
34,575012,6.852181967434782e-05
35,171728,6.852181967434782e-05
36,834673,6.852181967434782e-05
37,188202,6.852181967434782e-05
38,74970,6.852181967434782e-05
39,1416172,6.852181967434782e-05
40,607804,6.852181967434782e-05
41,131624,6.852181967434782e-05
42,617370,6.852181967434782e-05
43,354158,6.852181967434782e-05
44,749504,6.852181967434782e-05
45,203670,6.852181967434782e-05
46,313899,6.852181967434782e-05
47,794173,6.852181967434782e-05
48,322027,6.852181967434782e-05
49,202554,6.852181967434782e-05
50,244711,6.852181967434782e-05
51,12802,6.852181967434782e-05
52,195368,6.852181967434782e-05
53,577531,6.852181967434782e-05
54,33316,6.852181967434782e-05
55,138332,6.852181967434782e-05
56,839369,6.852181967434782e-05
57,423095,6.852181967434782e-05
58,160638,6.852181967434782e-05
59,135054,6.852181967434782e-05
60,935990,6.852181967434782e-05
61,315336,6.852181967434782e-05
62,556242,6.852181967434782e-05
63,171693,6.852181967434782e-05
64,3413,6.852181967434782e-05
65,142178,6.852181967434782e-05
66,3056,6.852181967434782e-05
67,750925,6.852181967434782e-05
68,783250,6.852181967434782e-05
69,49806,6.852181967434782e-05
70,1006782,6.852181967434782e-05
71,416785,6.852181967434782e-05
72,760240,6.852181967434782e-05
73,278559,6.852181967434782e-05
74,527379,6.852181967434782e-05
75,536754,6.852181967434782e-05
76,241813,6.852181967434782e-05
77,67561,6.852181967434782e-05
78,192338,6.852181967434782e-05
79,847735,6.852181967434782e-05
80,207644,6.852181967434782e-05
81,641626,6.852181967434782e-05
82,892775,6.852181967434782e-05
83,181694,6.852181967434782e-05
84,43499,6.852181967434782e-05
85,924318,6.852181967434782e-05
86,80443,6.852181967434782e-05
87,170211,6.852181967434782e-05
88,490763,6.852181967434782e-05
89,126144,6.852181967434782e-05
90,253457,6.852181967434782e-05
91,683658,6.852181967434782e-05
92,112540,6.852181967434782e-05
93,342768,6.852181967434782e-05
94,796950,6.852181967434782e-05
95,813092,6.852181967434782e-05
96,898336,6.852181967434782e-05
97,310789,6.852181967434782e-05
98,488921,6.852181967434782e-05
99,756518,6.852181967434782e-05
100,314050,6.852181967434782e-05
101,361973,6.852181967434782e-05
102,153519,6.852181967434782e-05
103,211197,6.852181967434782e-05
104,342833,6.852181967434782e-05
105,620386,6.852181967434782e-05
106,183715,6.852181967434782e-05
107,476356,6.852181967434782e-05
108,483334,6.852181967434782e-05
109,200775,6.852181967434782e-05
110,577590,6.852181967434782e-05
111,333175,6.852181967434782e-05
112,489606,6.852181967434782e-05
113,179126,6.852181967434782e-05
114,630882,6.852181967434782e-05
115,111934,6.852181967434782e-05
116,140521,6.852181967434782e-05
117,31441,6.852181967434782e-05
118,245489,6.852181967434782e-05
119,489845,6.852181967434782e-05
120,147245,6.852181967434782e-05
121,764636,6.852181967434782e-05
122,67900,6.852181967434782e-05
123,169228,6.852181967434782e-05
124,73605,6.852181967434782e-05
125,890799,6.852181967434782e-05
126,36402,6.852181967434782e-05
127,664194,6.852181967434782e-05
128,680374,6.852181967434782e-05
129,583935,6.852181967434782e-05
130,1266,6.852181967434782e-05
131,742673,6.852181967434782e-05
132,337856,6.852181967434782e-05
133,889449,6.852181967434782e-05
134,898331,6.852181967434782e-05
135,310455,6.852181967434782e-05
136,169317,6.852181967434782e-05
137,172772,6.852181967434782e-05
138,296601,6.852181967434782e-05
139,662642,6.852181967434782e-05
140,956093,6.852181967434782e-05
141,256831,6.852181967434782e-05
142,281564,6.852181967434782e-05
143,225389,6.852181967434782e-05
144,299277,6.852181967434782e-05
145,1340026,6.852181967434782e-05
146,832341,6.852181967434782e-05
147,1211412,6.852181967434782e-05
148,258090,6.852181967434782e-05
149,747984,6.852181967434782e-05
150,358641,6.852181967434782e-05
151,569644,6.852181967434782e-05
152,824219,6.852181967434782e-05
153,788582,6.852181967434782e-05
154,792051,6.852181967434782e-05
155,922811,6.852181967434782e-05
156,797147,6.852181967434782e-05
157,768010,6.852181967434782e-05
158,954694,6.852181967434782e-05
159,667556,6.852181967434782e-05
160,821590,6.852181967434782e-05
161,123345,6.852181967434782e-05
162,210757,6.852181967434782e-05
163,316340,6.852181967434782e-05
164,80657,6.852181967434782e-05
